English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
Please reset for status update	Bitte zurücksetzen für Status-Update	Veuillez réinitialiser pour une mise à jour du statut	Resettare per l'aggiornamento di stato macchina	Nollaa tilapäivitystä varten	Reset voor status update	Zresetuj w celu aktualizacji statusu	Nulstil venligst for statusopdatering	상태 업데이트를 위해 재설정하십시오	Återställ för statusuppdatering	ステータスを更新するにはリセットしてください	Por favor, reinicie para actualizar el estado
Sending commands directly to the machine can change how it operates.	Das Senden von Befehlen direkt an das Gerät kann dessen Funktionsweise beeinträchtigen.	L'envoi de commandes directement à la machine peut modifier son fonctionnement.	L'invio di comandi direttamente alla macchina può cambiare il suo funzionamento.	Komentojen lähettäminen suoraan koneelle voi muuttaa sen toimintaa.	Door rechtstreeks commando's naar de machine te sturen, kan de werking ervan veranderen.	Wysyłanie poleceń bezpośrednio do maszyny może zmienić jej działanie.	Hvis du sender kommandoer direkte til maskinen, kan du ændre dens funktion.	기계를 직접 설정을 하면 작동 방식이 변경 될 수 있습니다.	Genom att skicka kommandon direkt till  maskinen kan ändra hur den fungerar	マシンにコマンドを直接送信すると、マシンの動作方法が変わる可能性があります。	El envío de comandos directamente a la máquina puede cambiar su funcionamiento.
Please exercise caution when using this feature.	Seien Sie bitte vorsichtig, wenn Sie diese Funktion verwenden.	Veuillez faire preuve de prudence lorsque vous utilisez cette fonction.	Preghiamo di fare attenzione quando usi questa funzione.	Ole varovainen käyttäessäsi tätä toimintoa.	Wees voorzichtig wanneer u deze functie gebruikt.	Zachowaj szczególną ostrożność przy korzystaniu z tej funkcji.	Vær forsigtig, når du bruger denne funktion.	이 기능을 사용할 때는 주의를 기울이십시오.	Var försiktig när du använder den här funktionen.	この機能を使用する場合は注意してください。	Por favor, tenga cuidado al utilizar esta función.
This command is forbidden because it will alter the fundamental settings of the machine.	Dieser Befehl ist nicht erlaubt, da er die Grundeinstellungen des Geräts verändert.	Cette commande est interdite car elle modifie les paramètres fondamentaux de la machine.	Questo comando è vietato perché altera le impostazioni fondamentali della macchina.	Tämä komento on kielletty, koska se muuttaa koneen perusasetuksia.	Dit commando is verboden omdat het de fundamentele instellingen van de machine zal veranderen.	To polecenie jest ZABRONIONE, ponieważ zmienia fabryczne ustawienia maszyny.	Denne kommando er forbudt, fordi den ændrer maskinens grundlæggende indstillinger.	이 설정은 기계의 기본 설정을 변경하기 때문에 금지되어 있습니다.	Detta kommando är förbjudet eftersom det ändrar maskinens grundläggande inställningar.	このコマンドはマシンの基本的な設定を変更するため、禁止されています。	Este comando está prohibido porque alterará los ajustes fundamentales de la máquina.
If you need to alter the fundamental settings of the machine please contact YetiTool support.	Wenn Sie die Grundeinstellungen des Geräts ändern möchten, wenden Sie sich bitte an den YetiTool-Support.	Si vous avez besoin de modifier les paramètres fondamentaux de la machine, veuillez contacter le support YetiTool.	Se hai bisogno di alterare le impostazioni fondamentali della macchina, contatta il supporto di YetiTool.	Jos haluat muuttaa koneen perusasetuksia, ota yhteyttä YetiToolin tukeen.	Als u de fundamentele instellingen van de machine wilt veranderen, neem dan contact op met de support van YetiTool.	Jeśli musisz zmienić fabryczne ustawienia Smartbench, proszę skontakuj się ze wsparciem YetiTool.	Hvis du har brug for at ændre maskinens grundlæggende indstillinger, skal du kontakte YetiTool support.	기계의 기본 설정을 변경해야 하는 경우 Yetitool에 지원 문의하십시오.	Om du behöver ändra maskinens grundläggande inställningar, kontakta YetiTools support.	マシンの基本設定を変更する必要がある場合は、YetiTool サポートにお問い合わせください。	Si necesita modificar los ajustes fundamentales de la máquina, póngase en contacto con el soporte de YetiTool.
Welcome to the GCode console	Willkommen in der GCode-Konsole	Bienvenue dans la console GCode	Benvenuto nella console GCode	Tervetuloa GCode-konsoliin	Welkom in de GCode console	Witamy w konsoli GCode	Velkommen til GCode-konsollen	Gcode 콘솔에 오신 것을 환영합니다	Välkommen till GCode-konsolen	GCode コンソールへようこそ	Bienvenido a la consola de GCode
Enter	Geben Sie ein	Entrez	Enra in	Syötä	Voer  in	Przejdź	Enter	시작	Gå in på	入力	Entre en
Hide oks	Oks ausblenden	Cacher les oks	Nascondi oks	Hide oks	Verberg oks	Ukryj	Skjul oks	OK를 숨 깁니다	Göm ok	隠します OK	Ocultar oks
Settings	Einstellungen	Réglages	Impostazioni	Asetukset	Instellingen	Ustawienia	Indstillinger	설정	Inställningar	設定	Ajustes
Params	Parameter	Paramètres	Params	Params	Params	Parametry	Params	매개변수	Params	パラメータ	Parámetros
State	Zustand	État	Stato	State	Staat	Stan	Tilstand	상태	Stat	州	Estado
Build	Erstellen	Construire	Costruire	Build	Bouwen	Utworzono	Byg	짖다	Bygg	建てる	Construir
Check	Prüfen	Vérifier	Controllare	Tarkista	Controleren	Sprawdź	Tjek	확인	Kontrollera	チェック	Consulte
Help	Hilfe	Aide	Aiuto	Ohje	Help	Pomoc	Hjælp	도움	Hjälp	ヘルプ	Ayuda
Clear	Löschen	Effacer	Cancella	Clear	Wissen	Usuń	Klar	이상없음	Rensa	クリア	Borrar
Status	Status	Statut	Stato	Tila	Status	Status	Status	상태	Status	状態	Estatus
Console needs to reboot to update language settings.	Die Konsole muss neu gestartet werden, um die Spracheinstellungen zu aktualisieren.	La console doit être redémarrée pour mettre à jour la langue	La console deve riavviarsi per aggiornare le impostazioni della lingua.	Konsolin on käynnistettävä uudelleen kieliasetusten päivittämiseksi.	De console moet opnieuw opstarten om de taalinstellingen bij te werken.	Aby zaktualizować ustawienia językowe, należy zresetować ustawienia Konsoli.	Konsollen skal genstartes for at opdatere sprogindstillingerne.	콘솔의 언어 설정을 업데이트하려면 재부팅 해야 합니다.	Konsolen måste starta om för att uppdatera språkinställningarna.	言語設定を更新するにはコンソールを再起動する必要があります。	La consola debe reiniciarse para actualizar la configuración del idioma.
Rebooting	Neustart	Redémarrage	Riavvio	Uudelleenkäynnistys	Opnieuw opstarten	Restart	Genstarter	재부팅	Omstart	再起動中	Reiniciando
Could not enable check mode; please check machine is Idle.	Konnte den Prüfmodus nicht aktivieren; bitte prüfen Sie, ob das Gerät im Leerlauf ist.	Impossible d'activer le mode de vérification ; veuillez vérifier que la machine est au repos.	Impossibile attivare la modalità di controllo; controlla che la macchina sia inattiva.	Tarkistustilaa ei voitu ottaa käyttöön; tarkista, että kone on tyhjäkäynnillä.	Kon de controlemodus niet inschakelen; controleer of de machine inactief is.	Nie można włączyć trybu sprawdzania; proszę sprawdzić, czy maszyna jest bezczynna.	Kunne ikke aktivere kontroltilstand; tjek venligst, at maskinen er i tomgang.	점검모드를 활성화 할 수 없습니다. 기계가 휴면 상태인지 확인 하십시오.	Det gick inte att aktivera kontrolläget; kontrollera att maskinen är vilande.	チェックモードを有効にできませんでした。マシンがアイドル状態であることを確認してください。	No se ha podido activar el modo de comprobación; por favor, compruebe que la máquina está en reposo.
Would you like to download the system logs onto a USB stick?	Möchten Sie die Systemprotokolle auf einen USB-Stick herunterladen?	Voulez-vous télécharger les journaux du système sur une clé USB ?	Vuoi scaricare i log di sistema su una chiavetta USB?	Haluatko ladata järjestelmälokit USB-tikulle?	Wilt u de systeemlogs op een USB-stick downloaden?	Czy chcesz pobrać rejestry systemowe na pamięć USB?	Vil du downloade systemlogfilerne til et USB-stik?	시스템 로그를 USB 스틱에 다운로드 하시겠습니까?	Vill du ladda ner systemloggarna till ett USB-minne?	システム ログを USB メモリにダウンロードしますか?	¿Quieres descargar los registros del sistema en una memoria USB?
Would you like to reboot the console now?	Möchten Sie die Konsole jetzt neu starten?	Voulez-vous redémarrer la console maintenant ?	Vuoi riavviare la console ora?	Haluatko käynnistää konsolin uudelleen nyt?	Wilt u de console nu opnieuw opstarten?	Czy chcesz zrestartować konsole?	Vil du genstarte konsollen nu?	지금 콘솔을 재부팅 하시겠습니까?	Vill du starta om konsolen nu?	今すぐコンソールを再起動しますか?	¿Quieres reiniciar la consola ahora?
Would you like to exit the software now?	Möchten Sie die Software jetzt beenden?	Voulez-vous quitter le logiciel maintenant ?	Vuoi uscire dal software ora?	Haluatko poistua ohjelmistosta nyt?	Wilt u de software nu afsluiten?	Czy chcesz teraz opuścić oprogramowanie?	Vil du afslutte softwaren nu?	지금 소프트웨어를 종료 하시겠습니까?	Vill du avsluta programmet nu?	ソフトウェアを今すぐ終了しますか?	¿Desea salir del programa ahora?
Please enter the password to use the factory settings.	Bitte geben Sie das Passwort ein, um die Werkseinstellungen zu verwenden.	Veuillez entrer le mot de passe pour utiliser les paramètres d'usine.	Inserisci la password per utilizzare le impostazioni di fabbrica.	Syötä salasana käyttääksesi tehdasasetuksia.	Voer het wachtwoord in om de fabrieksinstellingen te gebruiken.	Proszę wprowadź hasło do ustawień fabrycznych.	Indtast venligst adgangskoden for at bruge fabriksindstillingerne.	공장 설정을 사용하려면 비밀번호를 입력하십시오.	Ange lösenordet för att använda fabriksinställningarna.	工場出荷時の設定を使用するには、パスワードを入力してください。	Por favor, introduzca la contraseña para utilizar los ajustes de fábrica.
Beta testing allows our engineers and beta testers to try out software updates that might not be stable, or change how SmartBench behaves.	Beta-Tests ermöglichen es unseren Ingenieuren und Beta-Testern, Software-Updates auszuprobieren, die möglicherweise nicht stabil sind oder das Verhalten der SmartBench verändern.	Les tests bêta permettent à nos ingénieurs et aux bêta-testeurs d'essayer des mises à jour logicielles qui pourraient ne pas être stables, ou modifier le comportement de SmartBench.	Il beta testing permette ai nostri ingegneri e beta tester di provare gli aggiornamenti del software che potrebbero non essere stabili o cambiare il comportamento di SmartBench.	Beetatestaus antaa insinööreillemme ja beetatestaajillemme mahdollisuuden kokeilla ohjelmistopäivityksiä, jotka eivät ehkä ole vakaita tai muuttavat SmartBenchin käyttäytymistä.	Betatests stellen onze ingenieurs en betatesters in staat om software-updates uit te proberen die misschien niet stabiel zijn, of die veranderen hoe SmartBench zich gedraagt.	Testy beta pozwalają naszym inżynierom i beta testerom wypróbować aktualizacje oprogramowania, które mogą nie być stabilne lub zmienić sposób działania SmartBench.	Betatest giver vores ingeniører og betatestere mulighed for at afprøve softwareopdateringer, som måske ikke er stabile eller ændrer den måde, SmartBench opfører sig på.	엔지니어와 새로운 운영프로그램과 안정적이지 않은 소프트웨어 업데이트는 SmartBench의 동작 방식을 변경할 수 있습니다.	Betatestning gör det möjligt för våra ingenjörer och betatestare att prova programuppdateringar som kanske inte är stabila eller ändrar hur SmartBench beter sig.	ベータ テストにより、当社のエンジニアとベータ テスターは、安定していない可能性のあるソフトウェア アップデートを試したり、SmartBench の動作を変更したりすることができます。	Las pruebas beta permiten a nuestros ingenieros y a los probadores de la versión beta probar actualizaciones de software que podrían no ser estables o cambiar el comportamiento de SmartBench.
By updating to a beta version or developer branch you may risk causing damage to SmartBench.	Wenn Sie auf eine Betaversion oder einen Entwicklerzweig aktualisieren, riskieren Sie, dass SmartBench beschädigt wird.	En effectuant une mise à jour vers une version bêta ou une version en développement, vous risquez de causer des dommages au SmartBench.	Aggiornando ad una versione beta o ad un ramo per sviluppatori potrebbe rischiare di causare danni a SmartBench.	Päivittämällä beta-versioon tai kehittäjähaaraan saatat vaarantaa SmartBenchin vahingoittumisen.	Door naar een beta-versie of ontwikkelaarstak te updaten riskeert u schade aan SmartBench te veroorzaken.	Aktualizacja do wersji beta lub dostęp deweloperski może skutkować uszkodzeniem SmartBench.	Ved at opdatere til en beta-version eller udviklergren kan du risikere at beskadige SmartBench.	새로운 운영프로그램을 개발자 지점으로 업데이트하면 SmartBench에 손상을 입힐 위험이 있습니다.	Genom att uppdatera till en betaversion eller utvecklarversion kan du riskera att orsaka skador på SmartBench.	ベータ版または開発者ブランチに更新すると、SmartBench に損傷を与える危険性があります。	Si se actualiza a una versión beta o a una rama de desarrolladores, se corre el riesgo de dañar SmartBench.
Do you want to continue?	Möchten Sie fortfahren?	Voulez-vous continuer ?	Vuoi continuare?	Haluatko jatkaa?	Wilt u doorgaan?	Czy chcesz kontynować?	Ønsker du at fortsætte?	계속 하시겠습니까?	Vill du fortsätta?	続けたいですか？	¿Quieres continuar?
Changing the GRBL settings will change how SmartBench behaves.	Durch das Ändern der GRBL-Einstellungen wird das Verhalten der SmartBench verändert.	La modification des paramètres GRBL changera le comportement de SmartBench.	Cambiando le impostazioni di GRBL cambierà il comportamento di SmartBench.	GRBL-asetusten muuttaminen muuttaa SmartBenchin käyttäytymistä.	Door de GRBL instellingen te veranderen, verandert u hoe SmartBench zich gedraagt.	Zmiana ustawień GRBL zmieni sposób działania SmartBench.	Ændring af GRBL-indstillingerne ændrer den måde, som SmartBench opfører sig på.	GRBL 설정을 변경하면 SmartBench의 동작방식이 변경됩니다.	Om du ändrar inställningarna för GRBL kommer det förändra hur SmartBench beter sig.	GRBL 設定を変更すると、SmartBench の動作が変わります。	Al cambiar la configuración de GRBL cambiará el comportamiento de SmartBench.
